,searchword,search_date,search_time
123,https://www.youtube.com/watch?v=75c-rRyK3Lk,2023-01-10,오전 8:27
124,취준생이 반드시 알아야 할,2023-01-09,오후 3:36
125,취준생 역할이론,2023-01-09,오후 3:35
126,취준생이 반드시 알아야 할 역할이론,2023-01-09,오후 3:35
127,메이플 이득충,2023-01-09,오후 1:58
128,ndc,2023-01-07,오후 8:58
129,데이터 리터러시,2023-01-07,오후 8:21
130,https://www.classu.co.kr/class/classDetail/14059?utm_source=유튜브&utm_campaign=김교포_영어&utm_content=김교포오티_앨런,2023-01-07,오후 7:49
131,위러브,2023-01-04,오후 10:56
132,생명의 빛,2023-01-04,오후 10:50
133,머신러닝 분류 프로젝트 발표,2023-01-04,오후 6:07
134,머신러닝 프로젝트 발표,2023-01-04,오후 6:02
135,머신러닝 프로젝트,2023-01-04,오후 4:10
136,머신러닝 프로젝트 분류,2023-01-04,오후 2:30
137,머신러닝 프로젝트,2023-01-04,오후 2:23
138,남자 취업사진 머리 손질,2023-01-02,오전 11:44
139,송길영,2023-01-02,오전 9:55
140,영레기,2023-01-02,오전 9:11
141,닭이 뛰노는 곳 와헌,2022-12-31,오후 8:44
142,팡이요,2022-12-30,오후 3:58
143,세글자,2022-12-30,오후 3:35
144,팍플레이,2022-12-30,오후 3:34
145,팡이요,2022-12-29,오전 12:44
146,https://www.youtube.com/watch?v=cqc3d_8pEhI,2022-12-29,오전 12:00
147,https://www.youtube.com/watch?v=KDxgxengEYs,2022-12-28,오후 11:30
148,https://www.youtube.com/watch?v=-TI5NUIiIy0,2022-12-28,오후 10:08
149,파카,2022-12-28,오후 8:53
150,curiosity driven supermario,2022-12-28,오후 8:20
151,curiosity learning supermario,2022-12-28,오후 8:14
152,메타코드 M,2022-12-28,오후 4:59
153,파카,2022-12-28,오전 1:46
154,"플레임위젇, 스우",2022-12-27,오후 10:18
155,"플레임의젇, 검마",2022-12-27,오후 10:18
156,김수호,2022-12-27,오후 10:16
157,페이지,2022-12-27,오후 10:13
158,세글자,2022-12-27,오후 10:12
159,발젭,2022-12-27,오후 10:11
160,ㅏㅇ이요,2022-12-27,오후 10:11
161,차세대,2022-12-27,오후 10:10
162,ㅊㅏ세대,2022-12-27,오후 10:10
163,Rtx3080ti vs gtx1060,2022-12-27,오후 1:36
164,Rtx 4090,2022-12-27,오후 1:36
165,랄로,2022-12-27,오후 12:53
166,파카,2022-12-27,오후 12:53
167,사망여우,2022-12-27,오후 12:53
