,title,channel,running_time,watch_date,watch_time,category,watched_YN
112,사냥 개시 | 광동 vs. 디알엑스 게임1 하이라이트 | 01.29 | 2023 LCK 스프링 스플릿,LCK,11:07,2023-02-01,오후 1:14,,1
113,경제적 자유를 위한 최소한의 마인드셋 1시간 동기부여 마인드셋 오디오북 (2/4),동기부여학과 : 매일 듣는 성공 마인드 셋,1:40:04,2023-02-01,오전 10:06,,1
114,"가난한 사람은 모르지만, 부자들은 꼭 지키는 습관! (동기부여, 부자되는법, 경제적자유, 성공습관, 데일리리포트, 타이탄의도구들, 팀페리스, PDS 다이어리, 긍정확언)",자본가 마인드셋,8:11,2023-02-01,오전 9:55,,1
115,취업준비 즐겁게 하는 방법 3가지 알려드리겠습니다 [취린이 튜토리얼],AND (ft.인싸담당자),8:10,2023-02-01,오전 9:47,,1
116,롤을 하기 위해 산을 탔습니다. 북악산의 페이커 & HP 미니PC  | 용팔이 훈련소,용팔이 훈련소,20:21,2023-01-31,오후 8:24,,1
117,NS vs BRO - HLE vs KT | 2023 LCK CL 스프링 스플릿,LCK CL,6:11:59,2023-01-31,오후 8:22,,1
118,이번엔 정말 위험? 구글 발칵 뒤집은 AI의 등장,소수몽키,16:43,2023-01-31,오후 8:05,,1
119,"[자막뉴스] '이 숙제를 누가 했다고?'...충격받은 구글 ""직원 소집"" / YTN", YTN,2:03,2023-01-31,오후 8:03,,1
120,개발자는 시작일 뿐 2차 전직을 해야하는 시대,조코딩 JoCoding,4:03,2023-01-31,오후 1:57,,1
121,동기부여 필요할 때마다 보세요 [설 특집 북토크 동기부여 스페셜],북토크,54:19,2023-01-31,오후 1:29,,1
122,"가난한 사람의 3가지 습관, 부자 되려면 절대 하면 안됩니다.",북토크,13:26,2023-01-31,오후 1:12,,1
123,"1년 전,  대기업 퇴사 후 알바생이 된 남자",구현몬,9:26,2023-01-31,오후 1:02,,1
124,생각보다 부진한 한화생명한테 한 소리하는 클템ㅋㅋ |   2023 LCK SPRING 해설 하이라이트,오늘 게임 뭐 할까?,5:19,2023-01-31,오후 12:55,,1
125,면접에서 합격해도 무조건 걸러야 하는 회사,면접왕 이형,10:50,2023-01-31,오후 12:44,,1
126,일상 속 자극을 줄여보세요,이연LEEYEON,12:27,2023-01-31,오후 12:31,,1
127,숙제하는 페이커,Faker fan TV,2:05,2023-01-31,오후 12:28,,1
128,광고 협찬받는 네이버 블로그 만드는 아주 현실적인 방법!,스타트업테드님,11:31,2023-01-31,오전 9:22,,0
129,나에게 맞는 직장을 정하는 기준 | 힘들다고 아무데나 가면 더 힘들어짐. [취린이 튜토리얼],AND (ft.인싸담당자),10:52,2023-01-31,오전 1:51,,1
130,'내가 20살로 돌아간다면' 돈 이 없으면 이 3가지 부터 시작하세요 / 무일푼에서 부자 되는 가장 현실적인 방법 [송사무장 미니 특강],행크TV,27:26,2023-01-30,오후 8:09,,1
131,원딜 서폿에 대한 구마유시의 생각,Faker fan TV,3:50,2023-01-30,오후 8:02,,1
132,성공경험이 없다는 취준생들이 꼭 봐야하는 영상,면접왕 이형,6:07,2023-01-30,오후 2:29,,1
133,다트 들어가지 마세요. 취린이를 위한 기업분석 간단 꿀팁,캐치TV,7:26,2023-01-30,오후 1:56,,1
134,후회없이 회사를 선택하는 기준,퇴사한 이형,8:46,2023-01-30,오전 9:06,,1
135,나에게 맞는 직장을 정하는 기준 | 힘들다고 아무데나 가면 더 힘들어짐. [취린이 튜토리얼],AND (ft.인싸담당자),10:52,2023-01-30,오전 9:04,,1
136,The Witcher 3: Wild Hunt — Complete Edition | “Geralt & Ciri” Trailer,The Witcher,2:12,2023-01-29,오후 5:52,,1
137,Do Good with Data: Let’s talk about TIL+,The Information Lab,47:25,2023-01-29,오후 2:10,,0
138,필살기 Step 3: 인사이트 (면접관의 언어로 풀어주는 친절함까지..),면접왕 이형,7:17,2023-01-29,오후 12:49,,1
139,필살기 Step 2: 성공경험 (feat. 유사경험없다는 애들 일단 들어와봐~),면접왕 이형,6:57,2023-01-29,오후 12:41,,1
140,필살기 Step 1: 유사경험 (feat. 돈벌려고 했던 알바경험으로 면접을 붙는다고..?),면접왕 이형,7:22,2023-01-29,오후 12:36,,1
141,취업필살기 구조도 총정리! 면접과 자소서는 병렬이야! (믿고 따라오라니까~),면접왕 이형,10:32,2023-01-29,오후 12:35,,1
142,면접관 58%가 면접에서 뽑고 싶은 인재상,면접왕 이형,10:09,2023-01-29,오후 12:34,,1
143,"한번에 끝내는 데이터 분석 공부법 | SQL, 파이썬, R, 엑셀 강의 추천",곰사원은 곰대표,10:34,2023-01-29,오후 12:30,,1
144,중대발표 여러분 EO를 도와주세요,EO 이오,1:43,2023-01-29,오전 11:42,,0
145,[데이터야놀자2021] 공공데이터를 활용한 서울시 공/사교육 분석 - 고동우(데이터드림)님,데이터야놀자,14:45,2023-01-29,오전 11:26,,0
146,"빅데이터 취업 ""포트폴리오"" 100% 통과하는 방법!!",데이터왔수다!,6:03,2023-01-29,오전 10:59,,1
147,데이터 분석가 범진 님은 포트폴리오를 어떻게 준비했을까?│포트폴리오│자격증│방법,인프런 inflearn,3:33,2023-01-29,오전 10:55,,1
148,안쓰고 못배기는 일잘러의 노션활용법 (※ 노션은 공짜니까 꼭 쓰세요!!!),공여사들,22:55,2023-01-29,오전 10:54,,1
149,☀️ vs 🌕️ | T1 vs. 디플기아 게임3 하이라이트 | 01.28 | 2023 LCK 스프링 스플릿,LCK,8:08,2023-01-29,오전 12:08,,1
150,[한눈에 이슈] '상황이 이렇게 바뀌다니'…다이내믹한 전세 시장 / KBS 2023.01.28.,KBS News,12:52,2023-01-29,오전 12:04,,1
151,흑자헬스탠드업 3 - 한국 걸크러쉬는 안 멋져,흑자.지껄 SurplusTalk,6:46,2023-01-28,오후 11:58,,1
152,Yeseul interview INFJ 1920 1080,스픽 - Speak,0:53,2023-01-28,오후 11:58,,
153,압도적인 타격감 그리고 락앤롤! 2023 올해의 게임 첫 번째 후보가 등장했다!? 하이파이 러쉬 리뷰,말 많은 게이머 듀리,8:08,2023-01-28,오후 11:56,,0
154,[한눈에 이슈] '상황이 이렇게 바뀌다니'…다이내믹한 전세 시장 / KBS 2023.01.28.,KBS News,12:52,2023-01-28,오후 6:41,,1
155,☀️ vs 🌕️ | T1 vs. 디플기아 게임3 하이라이트 | 01.28 | 2023 LCK 스프링 스플릿,LCK,8:08,2023-01-28,오후 6:09,,1
156,롤은 루나제유~ | T1 vs. 디플기아 게임2 하이라이트 | 01.28 | 2023 LCK 스프링 스플릿,LCK,8:35,2023-01-28,오후 5:56,,1
